Ty Dolla $ign	Entergalactic
David Lochary	Pink Flamingos
Sondra Locke	Any Which Way You Can
Sondra Locke	Bronco Billy
Sondra Locke	Every Which Way But Loose
Sondra Locke	Sudden Impact
Sondra Locke	The Gauntlet
Sondra Locke	The Outlaw Josey Wales
Spencer Locke	Detention
Spencer Locke	Monster House
Spencer Locke	Tarzan
Gene Lockhart	His Girl Friday
Gene Lockhart	Miracle on 34th Street
Heather Locklear	Firestarter
Heather Locklear	Looney Tunes: Back in Action
Heather Locklear	Money Talks
Heather Locklear	The Perfect Man
Heather Locklear	Uptown Girls
Loryn Locklin	Fortress
Gary Lockwood	2001: A Space Odyssey
Margaret Lockwood	The Lady Vanishes
Malena Lucia Lodahl	Skyggen i mit øje
John Loder	Sabotage
Kesun Loder	Fido
Kurt Loder	Book of Shadows: Blair Witch 2
Gretchen Lodge	Lovely Molly
Valentina Lodovini	Benvenuti al sud
Jacob Lofland	Mud
Spencer Rocco Lofranco	Gotti
Lennie Loftin	Reno 911!: Miami
Bellina Logan	Inland Empire
Phyllis Logan	Secrets & Lies
Samantha Logan	Polaroid
Samantha Logan	The Empty Man
Robert Loggia	An Officer and a Gentleman
Robert Loggia	Armed and Dangerous
Robert Loggia	Big
Robert Loggia	Holy Man
Robert Loggia	Innocent Blood
Robert Loggia	Jagged Edge
Robert Loggia	Necessary Roughness
Robert Loggia	Over the Top
Robert Loggia	Prizzi's Honor
Robert Loggia	Psycho II
Robert Loggia	Return to Me
Robert Loggia	Tim and Eric's Billion Dollar Movie
Donal Logue	Just Like Heaven
Lindsay Lohan	Chapter 27
Lindsay Lohan	Confessions of a Teenage Drama Queen
Lindsay Lohan	Falling for Christmas
Lindsay Lohan	Freaky Friday
Lindsay Lohan	Georgia Rule
Lindsay Lohan	Herbie Fully Loaded
Lindsay Lohan	I Know Who Killed Me
Lindsay Lohan	Just My Luck
Lindsay Lohan	Labor Pains
Lindsay Lohan	Mean Girls
Lindsay Lohan	Scary Movie 5
Lindsay Lohan	The Canyons
Lindsay Lohan	The Parent Trap
Alison Lohman	Drag Me to Hell
Alison Lohman	Matchstick Men
Alison Lohman	Things We Lost in the Fire
Alison Lohman	Where the Truth Lies
Alison Lohman	White Oleander
Jacob Lohmann	Flaskepost fra P
Luisa Loiano	Mamma Roma
Thomas Loibl	Toni Erdmann
Kristanna Loken	BloodRayne
Kristanna Loken	Terminator 3: Rise of the Machines
Ankita Lokhande	Baaghi 3
Gina Lollobrigida	Beat the Devil
Herbert Lom	A Shot in the Dark
Herbert Lom	King Solomon's Mines
Herbert Lom	Revenge of the Pink Panther
Herbert Lom	The Dead Zone
Herbert Lom	The Ladykillers
Herbert Lom	The Pink Panther Strikes Again
Herbert Lom	The Return of the Pink Panther
Herbert Lom	Trail of the Pink Panther
Noah Lomax	Playing for Keeps
Carole Lombard	Mr. & Mrs. Smith
Carole Lombard	My Man Godfrey
Carole Lombard	To Be or Not to Be
Louise Lombard	After We Collided
Louise Lombard	After We Fell
Louise Lombard	Hidalgo
McCaul Lombardi	American Honey
Paul Lombardi	The Fisher King
Michael Lomenda	Jersey Boys
Ulli Lommel	Daniel der Zauberer
Tadeusz Lomnicki	Przypadek
Daniel London	Patch Adams
Jason London	Dazed and Confused
Jason London	The Rage: Carrie 2
Jeremy London	Mallrats
Lauren London	ATL
Lauren London	I Love You, Beth Cooper
Lauren London	You People
John Lone	M. Butterfly
John Lone	Rush Hour 2
John Lone	The Last Emperor
John Lone	The Shadow
John Lone	War
John Lone	Year of the Dragon
Justin Long	A Case of You
Justin Long	Accepted
Justin Long	After.Life
Justin Long	Alpha and Omega
Justin Long	Alvin and the Chipmunks: Chipwrecked
Justin Long	Alvin and the Chipmunks: The Road Chip
Justin Long	Alvin and the Chipmunks: The Squeakquel
Justin Long	Barbarian
Justin Long	Comet
Justin Long	Drag Me to Hell
Justin Long	For a Good Time, Call...
Justin Long	Going the Distance
Justin Long	Jeepers Creepers
Justin Long	Live Free or Die Hard
Justin Long	Planet 51
Justin Long	Strange Wilderness
Justin Long	Terra
Justin Long	Tusk
Justin Long	Waiting...
Leo Long	I Used to Be Famous
Matt Long	Ghost Rider
Matt Long	Sydney White
Nia Long	Are We Done Yet?
Nia Long	Are We There Yet?
Nia Long	Big Momma's House
Nia Long	Big Momma's House 2
Nia Long	Boiler Room
Nia Long	Friday
Nia Long	Made in America
Nia Long	Missing
Nia Long	Stigmata
Nia Long	The Banker
Nia Long	The Best Man
Richard Long	House on Haunted Hill
Shelley Long	A Very Brady Sequel
Shelley Long	Night Shift
Shelley Long	The Brady Bunch Movie
Shelley Long	The Money Pit
Shelley Long	Troop Beverly Hills
Tom Long	Two Hands
John Longden	Blackmail
Claudine Longet	The Party
Eva Longoria	Dora and the Lost City of Gold
Eva Longoria	Foodfight!
Eva Longoria	Harsh Times
Eva Longoria	Over Her Dead Body
Eva Longoria	Overboard
Eva Longoria	The Baytown Outlaws
Eva Longoria	The Sentinel
Aiden Longworth	The 9th Life of Louis Drax
Keiynan Lonsdale	Work It
Michael Lonsdale	5x2
Michael Lonsdale	Baisers volés
Michael Lonsdale	Des hommes et des dieux
Michael Lonsdale	Le souffle au coeur
Michael Lonsdale	Moonraker
Clinton Loomis	Free to Play
Deborah Loomis	Hercules in New York
Anne-Marie Loop	Ernest et Célestine
Anna Loos	Anatomie
Gabriela Lopez	The 5th Wave
George Lopez	Balls of Fury
George Lopez	Beverly Hills Chihuahua
George Lopez	Henry Poole Is Here
George Lopez	Rio
George Lopez	Spare Parts
George Lopez	The Adventures of Sharkboy and Lavagirl 3-D
Guilied Lopez	Maria Full of Grace
Jennifer Lopez	An Unfinished Life
Jennifer Lopez	Anaconda
Jennifer Lopez	Angel Eyes
Jennifer Lopez	Blood and Wine
Jennifer Lopez	Bordertown
Jennifer Lopez	Enough
Jennifer Lopez	Gigli
Jennifer Lopez	Home
Jennifer Lopez	Hustlers
Jennifer Lopez	Jack
Jennifer Lopez	Maid in Manhattan
Jennifer Lopez	Marry Me
Jennifer Lopez	Money Train
Jennifer Lopez	Monster-in-Law
Jennifer Lopez	Out of Sight
Jennifer Lopez	Parker
Jennifer Lopez	Second Act
Jennifer Lopez	Selena
Jennifer Lopez	Shall We Dance?
Jennifer Lopez	Shotgun Wedding
Jennifer Lopez	The Back-up Plan
Jennifer Lopez	The Boy Next Door
Jennifer Lopez	The Cell
Jennifer Lopez	The Mother
Jennifer Lopez	The Wedding Planner
Jennifer Lopez	U Turn
Mauricio Lopez	Faster
Perry Lopez	Chinatown
Perry Lopez	Death Wish 4: The Crackdown
Richard Lopez	Into the Abyss
Sal Lopez	American Me
Vernetta Lopez	Equals
Traci Lords	Excision
Brad Loree	Halloween: Resurrection
Nick Loren	Domestic Disturbance
Sophia Loren	El Cid
Sophia Loren	Grumpier Old Men
Sophia Loren	La ciociara
Sophia Loren	La vita davanti a sé
Sophia Loren	Matrimonio all'italiana
Sophia Loren	Prêt-à-Porter
Sophia Loren	Una giornata particolare
Bernd Daktari Lorenz	Nekromantik
James Lorinz	Frankenhooker
Jean-Pierre Lorit	Trois couleurs: Rouge
Carrie Lorraine	Dolls
Peter Lorre	20,000 Leagues Under the Sea
Peter Lorre	M - Eine Stadt sucht einen Mörder
Peter Lorre	The Maltese Falcon
Peter Lorre	The Man Who Knew Too Much
Peter Lorre	The Raven
Susanne Lothar	Funny Games
Susanne Lothar	La pianiste
Lech Lotocki	Smolensk
Michelle Lotters	Babyteeth
Caity Lotz	400 Days
Caity Lotz	The Machine
Caity Lotz	The Pact
Jared Lotz	Unplanned
Jackson Lou	Ging chaat goo si 4: Gaan dan yam mo
Alexis Louder	Copshop
Susan Loughnane	A Dark Song
John Louie	Gremlins
Julia Louis-Dreyfus	A Bug's Life
Julia Louis-Dreyfus	Deconstructing Harry
Julia Louis-Dreyfus	Downhill
Julia Louis-Dreyfus	Enough Said
Julia Louis-Dreyfus	Fathers' Day
Julia Louis-Dreyfus	North
Julia Louis-Dreyfus	Onward
Julia Louis-Dreyfus	You People
Todd Louiso	High Fidelity
Renia Louizidou	Politiki kouzina
Barbara Lourens	Incir Reçeli
Sam Louwyck	Ex Drummer
Demi Lovato	Smurfs: The Lost Village
Courtney Love	The People vs. Larry Flynt
Courtney Love	Trapped
Darlene Love	Twenty Feet from Stardom
Frank Lovejoy	House of Wax
Frank Lovejoy	In a Lonely Place
Frank Lovejoy	The Hitch-Hiker
Tess Porterfield Lovell	Murder Party
Lyle Lovett	The New Guy
Lyle Lovett	The Opposite of Sex
David Lovgren	American Mary
Ophelia Lovibond	4.3.2.1.
Ophelia Lovibond	Mr. Popper's Penguins
Ophelia Lovibond	The Autopsy of Jane Doe
Jon Lovitz	Casino Jack
Jon Lovitz	City Slickers II: The Legend of Curly's Gold
Jon Lovitz	Happiness
Jon Lovitz	High School High
Jon Lovitz	Loaded Weapon 1
Jon Lovitz	Mr. Destiny
Jon Lovitz	My Stepmother Is an Alien
Jon Lovitz	The Benchwarmers
Jon Lovitz	The Brave Little Toaster
Jon Lovitz	Trapped in Paradise
Jack Lowden	Calibre
Jack Lowden	Mary Queen of Scots
Alice Lowe	Black Mirror: Bandersnatch
Alice Lowe	Sightseers
John Owen Lowe	Christmas in the Wild
Rob Lowe	About Last Night...
Rob Lowe	Bad Influence
Rob Lowe	Christmas in the Wild
Rob Lowe	Class
Rob Lowe	How to Be a Latin Lover
Rob Lowe	St. Elmo's Fire
Rob Lowe	Wayne's World
Rob Lowe	Youngblood
Sophie Lowe	After the Dark
Sophie Lowe	Medieval
Carey Lowell	Licence to Kill
Christopher Lowell	Veronica Mars
Jessica Lowndes	Altitude
Jessica Lowndes	The Prince
Jennifer Lowry	Brain Damage
Lynn Lowry	Shivers
T.J. Lowther	A Perfect World
Myrna Loy	After the Thin Man
Myrna Loy	Mr. Blandings Builds His Dream House
Myrna Loy	The Best Years of Our Lives
Myrna Loy	The Thin Man
Hannah R. Loyd	The Mortuary Collection
Diego Loyzaga	Maid in Malacañang
Florencia Lozano	Veronika Decides to Die
Hong Lu	The Farewell
June Kyoto Lu	Menace II Society
Patti LuPone	Beau Is Afraid
Patti LuPone	Driving Miss Daisy
Leem Lubany	Omar
Leem Lubany	Rock the Kasbah
Olaf Lubaszenko	Krótki film o milosci
George Lucas	Hearts of Darkness: A Filmmaker's Apocalypse
Isabel Lucas	Red Dawn
Isabel Lucas	The Water Diviner
Jessica Lucas	Amusement
Jessica Lucas	Big Mommas: Like Father, Like Son
Jessica Lucas	Cloverfield
Jessica Lucas	Evil Dead
Josh Lucas	American Psycho
Josh Lucas	An Unfinished Life
Josh Lucas	Daydream Nation
Josh Lucas	Glory Road
Josh Lucas	Hulk
Josh Lucas	Life as We Know It
Josh Lucas	Peacock
Josh Lucas	Poseidon
Josh Lucas	Red Dog
Josh Lucas	Session 9
Josh Lucas	Stealth
Josh Lucas	Stolen
Josh Lucas	Sweet Home Alabama
Josh Lucas	The Forever Purge
Josh Lucas	The Secret: Dare to Dream
Laurent Lucas	Calvaire
Laurent Lucas	Grave
Laurent Lucas	Harry, un ami qui vous veut du bien
Matt Lucas	How to Talk to Girls at Parties
Matt Lucas	Missing Link
Olivia Luccardi	It Follows
Anthony Luke Lucero	Pump Up the Volume
Fabrice Luchini	Dans la maison
Fabrice Luchini	Les femmes du 6e étage
Fabrice Luchini	Paris
Fabrice Luchini	Potiche
Bud Luckey	Winnie the Pooh
Arnold Lucy	All Quiet on the Western Front
Lucy	Wendy and Lucy
Ludacris	Gamer
Ludacris	Hustle & Flow
Ludacris	Max Payne
Barbara Luddy	Lady and the Tramp
Barbara Luddy	The Many Adventures of Winnie the Pooh
Alexander Ludwig	Bad Boys for Life
Alexander Ludwig	Final Girl
Alexander Ludwig	Go with Me
Alexander Ludwig	Operation Christmas Drop
Alexander Ludwig	Race to Witch Mountain
Alexander Ludwig	The Seeker: The Dark Is Rising
Alexander Ludwig	When the Game Stands Tall
Ted Ludzik	Mr. Magorium's Wonder Emporium
Luenell	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
Lorna Luft	Grease 2
Bela Lugosi	Bud Abbott and Lou Costello Meet Frankenstein
Bela Lugosi	Dracula
Bela Lugosi	Island of Lost Souls
Bela Lugosi	Ninotchka
Bela Lugosi	Son of Frankenstein
Bela Lugosi	The Black Cat
Bela Lugosi	The Wolf Man
Bela Lugosi	White Zombie
Ray Lui	Dou foh sin
Florian Lukas	Don 2
Florian Lukas	Good Bye Lenin!
Florian Lukas	Into the White
Florian Lukas	Nordwand
Paul Lukas	20,000 Leagues Under the Sea
Paul Lukas	The Lady Vanishes
Olgierd Lukaszewicz	Seksmisja
Derek Luke	Antwone Fisher
Derek Luke	Biker Boyz
Derek Luke	Catch a Fire
Derek Luke	Friday Night Lights
Derek Luke	Glory Road
Derek Luke	Madea Goes to Jail
Derek Luke	Miracle at St. Anna
Derek Luke	Notorious
Derek Luke	Pieces of April
Derek Luke	Spartan
Jesse Luken	Ideal Home
Wolfgang Lukschy	Per un pugno di dollari
Déborah Lukumuena	Divines
Folco Lulli	Le salaire de la peur
Claude Lulé	À l'intérieur
Joanna Lumley	Absolutely Fabulous: The Movie
Joanna Lumley	Ella Enchanted
Joanna Lumley	James and the Giant Peach
Norman Lumsden	White Hunter Black Heart
Diego Luna	Blood Father
Diego Luna	Casa de mi padre
Diego Luna	Criminal
Diego Luna	Dirty Dancing: Havana Nights
Diego Luna	Flatliners
Diego Luna	Milk
Diego Luna	Open Range
Diego Luna	Rogue One
Diego Luna	The Book of Life
José de Luna	Campeones
Shiah Luna	Interreflections
Zoey Luna	The Craft: Legacy
Synnøve Macody Lund	Hodejegerne
Synnøve Macody Lund	Saw X
Zoë Lund	Ms .45
Joan Lunden	Thank You for Smoking
Dolph Lundgren	Dark Angel
Dolph Lundgren	Expend4bles
Dolph Lundgren	Johnny Mnemonic
Dolph Lundgren	Masters of the Universe
Dolph Lundgren	Showdown in Little Tokyo
Dolph Lundgren	The Expendables
Dolph Lundgren	The Punisher
Dolph Lundgren	Universal Soldier
Dolph Lundgren	Universal Soldier: Day of Reckoning
Dolph Lundgren	Universal Soldier: Regeneration
Lisa Lundholm	Körkarlen
Henrik Lundström	Ondskan
Harald Lundt	Nekromantik
Jessica Lundy	RocketMan
Sihung Lung	Xi yan
Sihung Lung	Yin shi nan nu
Cherie Lunghi	Excalibur
Lanshan Luo	Tian zhu ding
Michal Lupa	W lesie dzis nie zasnie nikt
Tabitha Lupien	Look Who's Talking Now
Ida Lupino	High Sierra
Federico Luppi	Al final del túnel
Federico Luppi	Cronos
Federico Luppi	El espinazo del diablo
John Lurie	Down by Law
John Lurie	Permanent Vacation
John Lurie	Stranger Than Paradise
Jing Lusi	Heart of Stone
Sasha Luss	Anna
Andreas Lust	Revanche
Adam Lustick	Good on Paper
Razvan Lutac	Colectiv
Alfred Lutter III	Alice Doesn't Live Here Anymore
Alex Lutz	Astérix: Le secret de la potion magique
Alex Lutz	OSS 117: Rio ne répond plus
Kellan Lutz	Extraction
Kellan Lutz	Syrup
Kellan Lutz	Tarzan
Kellan Lutz	The Legend of Hercules
Kellan Lutz	What Men Want
Matilda Anna Ingrid Lutz	A Classic Horror Story
Matilda Anna Ingrid Lutz	Revenge
Matilda Anna Ingrid Lutz	Rings
Dora Luz	The Three Caballeros
Elena Lyadova	Elena
Elena Lyadova	Leviafan
Troels Lyby	Idioterne
Troels Lyby	Kvinden i buret
Desi Lydic	Stan Helsing
Mia Lyhne	Klovn: The Movie
Brian Lykke	Ronal Barbaren
Alfred Lynch	The Hill
David Lynch	Lucky
Jane Lynch	A.C.O.D.
Jane Lynch	Afternoon Delight
Jane Lynch	Sleepover
Jane Lynch	The Three Stooges
Jane Lynch	Wreck-It Ralph
John Carroll Lynch	Love Happens
John Carroll Lynch	The Founder
John Carroll Lynch	The Highwaymen
John Carroll Lynch	The Pretty One
John Lynch	Hardware
John Lynch	Sliding Doors
Kate Lynch	Meatballs
Kelly Lynch	Curly Sue
Kelly Lynch	Drugstore Cowboy
Kelly Lynch	Joe Somebody
Kelly Lynch	Mr. Magoo
Kelly Lynch	Road House
Kelly Lynch	Virtuosity
Lashana Lynch	Roald Dahl's Matilda the Musical
Lashana Lynch	The Woman King
Richard Lynch	Invasion U.S.A.
Ross Lynch	My Friend Dahmer
Sean Lynch	Ticket to Paradise
Susan Lynch	Waking Ned
Paul Lynde	Charlotte's Web
Simon Lyndon	Chopper
Lynn	Kimi no suizô o tabetai
William H. Lynn	Harvey
Melanie Lynskey	Heavenly Creatures
Melanie Lynskey	I Don't Feel at Home in This World Anymore.
Melanie Lynskey	Seeking a Friend for the End of the World
Sue Lyon	Lolita
Sue Lyon	The Night of the Iguana
Natasha Lyonne	But I'm a Cheerleader
Natasha Lyonne	Slums of Beverly Hills
Natasha Lyonne	The United States vs. Billie Holiday
David Lyons	Safe Haven
Elena Lyons	Club Dread
Jennifer Lyons	The Way to Paradise
Boris Lyoskin	Everything Is Illuminated
Lya Lys	L'âge d'or
Patrick Lyster	Goodbye Bafana
Patrick Lyster	Interview with a Hitman
Stanislav Lyubshin	Kin-dza-dza!
Paola Lázaro	Black Bear
Paola Lázaro	Pimp
Jean-Pierre Léaud	Baisers volés
Jean-Pierre Léaud	Domicile conjugal
Jean-Pierre Léaud	La nuit américaine
Jean-Pierre Léaud	Les quatre cents coups
Jean-Pierre Léaud	Masculin féminin
Philippe Léotard	French Connection II
Malonn Lévana	Tomboy
Mónica López	Intacto
Sergi López	El laberinto del fauno
Sergi López	Harry, un ami qui vous veut du bien
Ángel de Andrés López	¿Qué he hecho YO para merecer esto!!
Juan López-Tagle	The Man Who Killed Don Quixote
Hans Löw	Ich bin dein Mensch
Klaus Löwitsch	Die Ehe der Maria Braun
Elyas M'Barek	Der Fall Collini
Elyas M'Barek	Fack ju Göhte
Elyas M'Barek	Fack ju Göhte 2
Elyas M'Barek	Who Am I - Kein System ist sicher
Chunrui Ma	Hidden Strike
Jingwu Ma	Da hong denglong gaogao gua
Wu Ma	Sien lui yau wan
Payman Maadi	Abad va yek rooz
Payman Maadi	Baradaran-e Leila
Payman Maadi	Camp X-Ray
Payman Maadi	Jodaeiye Nader az Simin
Payman Maadi	Last Knights
Payman Maadi	Metri shesh va nim
Khalid Maadour	OSS 117: Le Caire, nid d'espions
Yvonne Maalouf	Et maintenant on va où?
Robert Maaser	Blood & Gold
Lincoln Maazel	Martin
Les Mabaleka	Good Luck to You, Leo Grande
Kate Maberly	The Secret Garden
Eric Mabius	The Crow: Salvation
Luke Mably	The Prince & Me
Bernie Mac	Bad Santa
Bernie Mac	Charlie's Angels: Full Throttle
Bernie Mac	Guess Who
Bernie Mac	Head of State
Bernie Mac	Mr. 3000
Bernie Mac	Soul Men
James MacArthur	Swiss Family Robinson
Doug MacAyeal	Encounters at the End of the World
Catriona MacColl	...E tu vivrai nel terrore! L'aldilà
Catriona MacColl	Paura nella città dei morti viventi
Catriona MacColl	Quella villa accanto al cimitero
Simon MacCorkindale	Death on the Nile
Simon MacCorkindale	Jaws 3-D
Edmund MacDonald	Detour
Gordon MacDonald	Brain Damage
James MacDonald	Cinderella
Norm MacDonald	Dirty Work
Pamela MacDonald	Feel the Beat
Scott MacDonald	Jarhead
Lewis MacDougall	A Monster Calls
Andie MacDowell	Bad Girls
Andie MacDowell	Beauty Shop
Andie MacDowell	Christmas Inheritance
Andie MacDowell	Daydream Nation
Andie MacDowell	Footloose
Andie MacDowell	Four Weddings and a Funeral
Andie MacDowell	Green Card
Andie MacDowell	Greystoke: The Legend of Tarzan, Lord of the Apes
Andie MacDowell	Groundhog Day
Andie MacDowell	Hudson Hawk
Andie MacDowell	Michael
Andie MacDowell	Multiplicity
Andie MacDowell	Sex, Lies, and Videotape
Andie MacDowell	Short Cuts
Andie MacDowell	The Muse
Seth MacFarlane	A Million Ways to Die in the West
Seth MacFarlane	Sing
Seth MacFarlane	Stewie Griffin: The Untold Story
Seth MacFarlane	Ted
Seth MacFarlane	Ted 2
Niall MacGinnis	Night of the Demon
Jack MacGowran	Cul-de-sac
Jack MacGowran	Dance of the Vampires
Ali MacGraw	Convoy
Ali MacGraw	Love Story
Ali MacGraw	The Getaway
Dominic MacHale	The Young Offenders
Martha MacIsaac	The Thaw
George MacKay	1917
George MacKay	Captain Fantastic
George MacKay	How I Live Now
George MacKay	Marrowbone
George MacKay	Munich: The Edge of War
George MacKay	The Boys Are Back
George MacKay	True History of the Kelly Gang
George MacKay	Wolf
John MacKay	Trust
Stephen MacKenna	Eye of the Needle
Kyle MacLachlan	Blue Velvet
Kyle MacLachlan	Dune
Kyle MacLachlan	Showgirls
Kyle MacLachlan	The Doors
Kyle MacLachlan	The Hidden
Kyle MacLachlan	The House with a Clock in Its Walls
Shirley MacLaine	Being There
Shirley MacLaine	Bernie
Shirley MacLaine	Bewitched
Shirley MacLaine	Guarding Tess
Shirley MacLaine	In Her Shoes
Shirley MacLaine	Irma la Douce
Shirley MacLaine	Noelle
Shirley MacLaine	Postcards from the Edge
Shirley MacLaine	Rumor Has It...
Shirley MacLaine	Steel Magnolias
Shirley MacLaine	Terms of Endearment
Shirley MacLaine	The Apartment
Shirley MacLaine	The Children's Hour
Shirley MacLaine	The Trouble with Harry
Shirley MacLaine	Two Mules for Sister Sara
Will MacMillan	The Crazies
Fred MacMurray	Double Indemnity
Fred MacMurray	The Apartment
Fred MacMurray	The Caine Mutiny
Duncan MacNeil	L'illusionniste
Peter MacNicol	Baby Geniuses
Peter MacNicol	Bean
Peter MacNicol	Dracula: Dead and Loving It
Peter MacNicol	Dragonslayer
Peter MacNicol	Sophie's Choice
Alex MacNicoll	A-X-L
Daniel MacPherson	Infini
Peter MacQueen	Supernova
Gordon MacRae	Oklahoma!
Vincent Macaigne	Le sens de la fête
Vincent Macaigne	Les innocentes
Ralph Macchio	Crossroads
Ralph Macchio	My Cousin Vinny
Ralph Macchio	The Karate Kid
Ralph Macchio	The Karate Kid Part II
Ralph Macchio	The Karate Kid Part III
Ralph Macchio	The Outsiders
Peter Macdissi	Nothing Is Private
Peter Macdissi	Uncle Frank
Alice Macdonald	Contracted
Danielle Macdonald	Dumplin'
Danielle Macdonald	Paradise Hills
Danielle Macdonald	Patti Cake$
Danielle Macdonald	Skin
Kelly Macdonald	Brave
Kelly Macdonald	Choke
Kelly Macdonald	Goodbye Christopher Robin
Kelly Macdonald	Intermission
Kelly Macdonald	Nanny McPhee
Kelly Macdonald	Operation Mincemeat
Kelly Macdonald	Special Correspondents
Kelly Macdonald	The Decoy Bride
Shauna Macdonald	The Descent
Shauna Macdonald	The Descent: Part 2
Angus Macfadyen	Braveheart
Angus Macfadyen	Saw III
Matthew Macfadyen	Anna Karenina
Matthew Macfadyen	Death at a Funeral
Matthew Macfadyen	Operation Mincemeat
Matthew Macfadyen	Pride & Prejudice
Matthew Macfadyen	Robin Hood
Matthew Macfadyen	The Three Musketeers
Luke Macfarlane	Bros
Luke Macfarlane	Single All the Way
Justina Machado	The Accidental Husband
Mario Machado	RoboCop 3
Piotr Machalica	Krótki film o milosci
Carmen Machi	Cerdita
Carmen Machi	El bar
Carmen Machi	Ocho apellidos vascos
Gabriel Macht	A Love Song for Bobby Long
Gabriel Macht	American Outlaws
Gabriel Macht	Bad Company
Gabriel Macht	Because I Said So
Gabriel Macht	Behind Enemy Lines
Gabriel Macht	Middle Men
Gabriel Macht	The Recruit
Gabriel Macht	The Spirit
Gabriel Macht	Whiteout
Stephen Macht	Graveyard Shift
Stephen Macht	The Monster Squad
Marion Mack	The General
Fulton Mackay	Local Hero
Lynsey Taylor Mackay	Under the Skin
Eoin Macken	Close
Eoin Macken	I Used to Be Famous
Eoin Macken	The Forest
Eoin Macken	Till Death
Mackenyu	Knights of the Zodiac
Mackenyu	Rurôni Kenshin: Sai shûshô - The Final
Farrah Mackenzie	Logan Lucky
Brendan Mackey	Touching the Void
Anthony Mackie	Abraham Lincoln: Vampire Hunter
Anthony Mackie	Black or White
Anthony Mackie	Detroit
Anthony Mackie	Half Nelson
Anthony Mackie	IO
Anthony Mackie	Notorious
Anthony Mackie	Our Brand Is Crisis
Anthony Mackie	Outside the Wire
Anthony Mackie	Pain & Gain
Anthony Mackie	Real Steel
Anthony Mackie	Runner Runner
Anthony Mackie	Synchronic
Anthony Mackie	The Banker
Anthony Mackie	The Hate U Give
Anthony Mackie	The Hurt Locker
Anthony Mackie	The Woman in the Window
Anthony Mackie	Triple 9
Anthony Mackie	We Are Marshall
Anthony Mackie	We Have a Ghost
Pearl Mackie	Horizon Line
Steven Mackintosh	The Sweeney
Steven Mackintosh	Underworld: Rise of the Lycans
Brandi Maclaren	The Way to Paradise
Patrick Macnee	The Avengers
Patrick Macnee	The Howling
Elle Macpherson	Sirens
Elle Macpherson	The Edge
Alex Macqueen	I Give It a Year
George Macready	Gilda
George Macready	Paths of Glory
William H. Macy	Cellular
William H. Macy	Edmond
William H. Macy	Fargo
William H. Macy	Happy, Texas
William H. Macy	He Was a Quiet Man
William H. Macy	Jurassic Park III
William H. Macy	Mystery Men
William H. Macy	Pleasantville
William H. Macy	Spartan
William H. Macy	State and Main
William H. Macy	The Cooler
William H. Macy	The Lincoln Lawyer
William H. Macy	The Sessions
William H. Macy	Welcome to Collinwood
William H. Macy	Wild Hogs
Radhika Madan	Angrezi Medium
Radhika Madan	Shiddat
Donald Madden	1776
Richard Madden	Bastille Day
Richard Madden	Cinderella
Richard Madden	Eternals
Richard Madden	Rocketman
Kiana Madeira	Fear Street: 1666
Kiana Madeira	Fear Street: 1994
Archie Madekwe	Gran Turismo
Ashley Madekwe	The Strays
Kasia Madera	All the Old Knives
Neeraj Madhav	An Action Hero
Madhavan	3 Idiots
Madhavan	Anbe Sivam
Madhavan	Dhokha: Round D Corner
Madhavan	Guru
Madhavan	Irudhi Suttru
Madhavan	Rocketry: The Nambi Effect
Madhavan	Tanu Weds Manu
Madhavan	Tanu Weds Manu Returns
Madhavan	Vikram Vedha
Madhoo	Roja
Sanjar Madi	Zashchitniki
Amy Madigan	Field of Dreams
Amy Madigan	Places in the Heart
Amy Madigan	Streets of Fire
Amy Madigan	The Dark Half
Frank Madigan	Macbeth
Jack Madigan	Macbeth
James Madio	The Basketball Diaries
Bailee Madison	Don't Be Afraid of the Dark
Bailee Madison	The Strangers: Prey at Night
Dora Madison	Exists
Madonna	A League of Their Own
Madonna	Arthur et les Minimoys
Madonna	Body of Evidence
Madonna	Desperately Seeking Susan
Madonna	Dick Tracy
Madonna	Evita
Madonna	Swept Away
Madonna	The Next Best Thing
Madonna	Who's That Girl
Red Madrell	Kidulthood
Al Madrigal	The Way Back
Michael Madsen	BloodRayne
Michael Madsen	Blueberry
Michael Madsen	Donnie Brasco
Michael Madsen	Free Willy
Michael Madsen	Free Willy 2: The Adventure Home
Michael Madsen	Hell Ride
Michael Madsen	Kill Bill: The Whole Bloody Affair
Michael Madsen	Kill Bill: Vol. 1
Michael Madsen	Kill Bill: Vol. 2
Michael Madsen	Reservoir Dogs
Michael Madsen	Species
Michael Madsen	Species II
Michael Madsen	The Getaway
Michael Madsen	Thelma & Louise
Virginia Madsen	Candyman
Virginia Madsen	Dune
Virginia Madsen	Firewall
Virginia Madsen	Ghosts of Mississippi
Virginia Madsen	Highlander II: The Quickening
Virginia Madsen	Sideways
Virginia Madsen	The Astronaut Farmer
Virginia Madsen	The Haunting in Connecticut
Virginia Madsen	The Hot Spot
Virginia Madsen	The Magic of Belle Isle
Virginia Madsen	The Number 23
Virginia Madsen	The Prophecy
Roman Madyanov	Leviafan
Ai Maeda	Batoru rowaiaru II: Chinkonka
Aki Maeda	Batoru rowaiaru
Aki Maeda	Neko no ongaeshi
Gou Maeda	Koto no ha no niwa
Sayaka Maeda	Mind Game
